metric,stat,control,r,p
flow,D,-,0.258,0.009000000000000008
flow,D,diversity,0.293,0.014000000000000012
flow,Gst,-,0.293,0.0040000000000000036
flow,Gst,diversity,0.381,0.0020000000000000018
isolation,D,-,0.2,0.039000000000000035
isolation,D,diversity,0.305,0.01200000000000001
isolation,Fst,-,0.358,0.0010000000000000009
isolation,Fst,diversity,0.448,0
isolation,Gst,-,0.352,0.0020000000000000018
isolation,Gst,diversity,0.447,0.0010000000000000009
asymmetry,D,-,0.319,0.014000000000000012
asymmetry,D,diversity,0.277,0.04400000000000004
asymmetry,Gst,-,0.349,0.010000000000000009
asymmetry,Gst,diversity,0.325,0.017000000000000015
diversity,AR,-,0.25,0.07499999999999996
diversity,AR,asymmetry,0.187,0.122
