component,species,genome,npops,syndrome,asymmetry_p,asymmetry_r,diversity_p,diversity_r,flow_p,flow_r,isolation_p,isolation_r
7a,Acacia ancistrocarpa,nu,21,0,0.14400000000000002,0.1905578028860803,0.08799999999999997,0.23082227398704858,0.20799999999999996,0.0769371779837579,0.577,-0.017146840657128126
7b,Acacia atkinsiana,nu,16,0,0.6779999999999999,-0.10495476338253763,0.32899999999999996,0.08720452803740762,0.617,-0.05053603016140253,0.563,-0.032564767130425325
1011a,Acacia loderi,nu,14,0,0.16700000000000004,0.25144926457315264,0.765,-0.19052348351901505,0.19799999999999995,0.15011727975710418,0.832,-0.09422434079787967
107a,Annona crassiflora,nu,21,0,0.019000000000000017,0.3626839680214729,0.775,-0.1840285865600743,0.09299999999999997,0.13294360867138383,0.734,-0.05394188425532251
31a,Castanopsis sieboldii,nu,31,0,0.129,0.15284507875529446,0.591,-0.041876113170912395,1,-0.2648425743755854,1,-0.49700876168390756
100a,Eucalyptus caesia,nu,11,0,0.6910000000000001,-0.10772601767670052,0.17000000000000004,0.26154660288316733,0.401,0.02954758023566912,0.7010000000000001,-0.14567724627841766
122a,Ficus pumila,nu,13,0,0.05400000000000005,0.37389455801013644,0.752,-0.18933061596097722,0.16800000000000004,0.13045039146704226,0.896,-0.21180574051486592
123a,Kalopanax septemlobus,nu,74,0,0,0.4161436335283064,0.949,-0.23109399083635374,0,0.2180720245184099,0.04300000000000004,0.14076682310314909
1034a,Magnolia salicifolia,nu,24,0,0.982,-0.3017171982664091,0.911,-0.2168910247148126,0.909,-0.14565168450651753,0.20699999999999996,0.11846998624889223
1034b,Magnolia salicifolia,cp,24,0,0.787,-0.16543146931965194,0.911,-0.2168910247148126,0.030000000000000027,0.17702735147523288,0.17700000000000005,0.13571325392665481
127a,Malus sylvestris,nu,13,0,0.645,-0.1010034922869342,0.536,-0.04106914993437303,0.40900000000000003,0.040888801284325024,0.46599999999999997,0.009540879789147057
1037a,Manilkara zapota,nu,3,0,0,0.765824977309465,0.825,-0.9940772299276401,0,0.7658249773094651,0.657,-0.7973876909804565
1050a,Prunus avium,nu,3,0,0.6910000000000001,-0.30042747575304435,0,0.9889682354496427,0.6910000000000001,-0.30042747575304396,0.825,-0.9994569625305932
1052a,Prunus dulcis,nu,57,0,0.648,-0.032420532799714935,0.32699999999999996,0.06097349942950202,0.84,-0.06405569572144364,0.05700000000000005,0.1351524987369312
1052b,Prunus dulcis,cp,47,0,0.961,-0.20301097737323887,0.857,-0.1342504986879335,0.768,-0.0789354274963817,0.949,-0.12379892042730492
42a,Prunus lannesian,nu,8,0,0.995,-0.7227493924052556,0.18999999999999995,0.2546384472411571,0.983,-0.42695692236355637,0.30700000000000005,0.09311940617969049
1043a,Prunus orientalis,nu,6,0,0.952,-0.5970013173079948,0.04400000000000004,0.7668333748903343,0.868,-0.3155933839062662,0.733,-0.2721678982051822
1043b,Prunus orientalis,cp,5,0,0.585,-0.10673350955411477,0.255,0.5548027666362786,0.531,-0.05862981315373606,0.975,-0.685343682469532
1a,Quercus berberidifolia,cp,27,0,0.8240000000000001,-0.11035464498359013,0.926,-0.27423178571382545,0.15000000000000002,0.04972540369903558,0.06899999999999995,0.10009630200190679
1006b,Quercus bumeliodes,cp,3,0,0.825,-0.9111464378060394,0.657,-0.9102485695522,0.825,-0.9111464378060388,NA,NA
1c,Quercus cornelius-mulleri,cp,6,0,0.41000000000000003,0.05953192829408487,0.656,-0.8559679134841216,0.611,-0.08978528951850141,0.955,-0.5213915272964569
1006a,Quercus costaricensis,cp,4,0,0.925,-0.6709357647531259,0.9,-0.7671187200848929,0.957,-0.6888214056448774,0.692,-0.33342582345101457
1b,Quercus durata,cp,9,0,0.43999999999999995,0.0591625337933474,0.852,-0.8705864380179315,0.815,-0.096192491174185,0.858,-0.16621443550001883
3a,Quercus insignis,cp,11,0,0.995,-0.46233906894628435,0.673,-0.09575542499752031,0.08499999999999996,0.18167885575190804,0.806,-0.16439603584962978
1d,Quercus john-tuckeri,cp,6,0,0.15300000000000002,0.3857328088780408,0.373,0.22061562937463347,0.262,0.21526115495410836,0.6910000000000001,-0.21374104177347641
18c,Quercus liaotungensis,cp,17,0,0.039000000000000035,0.4038866368355682,0.08399999999999996,0.2440845583530726,0.02300000000000002,0.16606099078239822,0.6699999999999999,-0.06017252064523112
1012b,Quercus lobata,cp,44,0,0.922,-0.15738757253354047,0.906,-0.18254256410029826,0.95,-0.08558704303635604,0.698,-0.01738041045071288
18d,Quercus mongolica,cp,17,0,0.32599999999999996,0.09062947718749863,0.17800000000000005,0.22772573854326858,0.472,0.0032047887119832064,0.856,-0.10431574208253025
1f,Quercus pacifica,cp,3,0,0,0.9180674750129388,NA,NA,0,0.9180674750129391,0.19599999999999995,0.7955219504440291
3b,Quercus sapotifolia,cp,13,0,0.767,-0.12114120647785034,0.11299999999999999,0.27551534671891065,0.913,-0.18575956078393277,0.5509999999999999,-0.027355985063524168
145a,Shorea macrophylla,nu,6,0,0.04500000000000004,0.792954356852593,0.30100000000000005,0.20594048464987968,0.0030000000000000027,0.4933432900718104,0.30200000000000005,0.17032138034959723
147a,Shorea platyclados,nu,20,0,0.688,-0.08053167329358561,0.43200000000000005,0.04057522541557025,0.06000000000000005,0.1273908411522699,0.010000000000000009,0.2042023050892996
150a,Tectona grandis,nu,27,0,0.753,-0.0935622114182314,0.536,-0.006706366775502924,0.41900000000000004,0.014675571974759943,0.040000000000000036,0.12548118453464732
152a,Yucca brevifolia,nu,27,0,0.6930000000000001,-0.08485507878205578,0.09999999999999998,0.25391103079661514,0.45999999999999996,0.008842409335713149,0.017000000000000015,0.15230177664682237
1040a,Fagus grandifolia,nu,14,0.5,0.956,-0.41462842930424265,0.23099999999999998,0.19693971106112015,0.61,-0.031190324390777624,0.0030000000000000027,0.6191192025288736
33a,Fagus sylvatica,nu,3,0.5,0.16800000000000004,0.5004182456290095,0.495,0.8466644969132577,0.16800000000000004,0.5004182456290107,0,0.48981614293812165
1038a,Metrosideros polymorpha,nu,9,0.5,0.16600000000000004,0.37169097779765947,0.8069999999999999,-0.4072549152371299,0.15300000000000002,0.3293729991450679,0.5920000000000001,-0.0379367978994924
134a,Olea europaea,nu,6,0.5,0.648,-0.16863768569923793,0.859,-0.4336943224818387,0.849,-0.20629202328162943,0.962,-0.5788366447777018
63c,Pinus cembra,nu,12,0.5,0.835,-0.20838524818080947,0.041000000000000036,0.35104384611569717,0.31200000000000006,0.07277126112980732,0.0050000000000000044,0.35841729298171016
80b,Pinus flexilis,nu,12,0.5,0.6819999999999999,-0.14781898239486382,0.734,-0.17488357752031228,0.894,-0.19040630399560138,0.641,-0.06499393579495286
80a,Pinus strobiformis,nu,12,0.5,0.506,-0.0057660648665124525,0.842,-0.14964088116335214,0.17200000000000004,0.08098978096430726,0.968,-0.43033309105418605
138a,Pistacia lentiscus,nu,57,0.5,0.122,0.1099424976075242,0.031000000000000028,0.26339644954897495,0.388,0.013320160617349738,0.29000000000000004,0.03209414410797794
